route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
023R,20240102-Weekday-1-24-09-1111100,26502100,"Downtown",0,1,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502101,"Mill Woods",1,1,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502102,"Downtown",0,9,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502103,"Mill Woods",1,9,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502104,"Downtown",0,2,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502105,"Mill Woods",1,2,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502106,"Downtown",0,11,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502107,"Mill Woods",1,11,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502108,"Downtown",0,4,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502109,"Mill Woods",1,4,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502110,"Downtown",0,6,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502111,"Mill Woods",1,6,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502112,"Downtown",0,6,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502113,"Mill Woods",1,6,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502114,"Downtown",0,6,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502115,"Mill Woods",1,6,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502116,"Downtown",0,6,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502117,"Mill Woods",1,17,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502118,"Downtown",0,7,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502119,"Mill Woods",1,7,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502120,"Downtown",0,3,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502121,"Mill Woods",1,3,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502122,"Downtown",0,18,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502123,"Mill Woods",1,18,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502124,"Downtown",0,4,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502125,"Mill Woods",1,4,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502126,"Downtown",0,6,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502127,"Mill Woods",1,6,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502128,"Downtown",0,8,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502129,"Mill Woods",1,8,023R-27-2,1,1
023R,20240102-Weekday-1-24-09-1111100,26502130,"Downtown",0,7,023R-28-1,1,1
023R,20240102-Weekday-1-24-09-1111100,26502131,"Mill Woods",1,7,023R-27-2,1,1
